# Division I Women's Basketball: 2011-12 Season
# School (Conference)	Wins	Losses
Pepperdine (West Coast)	14	15
Arizona (Pac-12)	15	17
UCLA (Pac-12)	14	16
Mt. St. Mary's (Northeast)	14	16
Saint Francis (PA) (Northeast)	14	16
Northwestern (Big Ten)	14	16
Mississippi St. (Southeastern)	14	16
Army West Point (Patriot)	14	16
Penn (Ivy League)	13	15
Tulsa (Conference USA)	13	15
Coastal Caro. (Big South)	13	15
Florida St. (Atlantic Coast)	14	17
La Salle (Atlantic 10)	14	17
Marquette (AAC)	14	17
Kennesaw St. (Atlantic Sun)	14	17
SMU (Conference USA)	14	17
Western Caro. (Southern)	14	17
Northern Ill. (Mid-American)	14	17
Central Conn. St. (Northeast)	13	16
South Carolina St. (Mid-Eastern)	13	16
Eastern Ky. (OVC)	13	16
Akron (Mid-American)	14	18
Long Beach St. (Big West)	14	18
Ohio (Mid-American)	14	18
Colorado St. (Mountain West)	13	17
North Florida (Atlantic Sun)	13	17
Loyola Chicago (Horizon)	13	17
NJIT (GWC)	13	17
UTRGV (GWC)	13	17
Providence (AAC)	13	17
UC Irvine (Big West)	13	17
Butler (Horizon)	13	17
Auburn (Southeastern)	13	17
Loyola Maryland (Metro Atlantic)	13	17
Cornell (Ivy League)	12	16
Missouri (Big 12)	13	18
Southern Miss. (Conference USA)	13	18
Murray St. (OVC)	13	18
Wofford (Southern)	13	18
Iona (Metro Atlantic)	13	18
Binghamton (America East)	13	18
Sacramento St. (Big Sky)	13	18
Fairleigh Dickinson (Northeast)	13	18
Wyoming (Mountain West)	12	17
UCF (Conference USA)	12	17
Siena (Metro Atlantic)	12	17
Norfolk St. (Mid-Eastern)	12	17
Alcorn (Southwestern)	14	20
IUPUI (Summit League)	13	19
Niagara (Metro Atlantic)	13	19
Fordham (Atlantic 10)	12	18
UMES (Mid-Eastern)	12	18
Belmont (Atlantic Sun)	12	18
Santa Clara (West Coast)	12	18
Southeastern La. (Southland)	12	18
Canisius (Metro Atlantic)	12	18
Arkansas St. (Sun Belt)	12	18
Ole Miss (Southeastern)	12	18
Washington St. (Pac-12)	13	20
Jackson St. (Southwestern)	11	17
Oakland (Summit League)	11	17
Alabama (Southeastern)	12	19
Western Ill. (Summit League)	12	19
East Carolina (Conference USA)	12	19
Cleveland St. (Horizon)	12	19
George Washington (Atlantic 10)	11	18
Portland (West Coast)	12	20
Idaho (Western Athletic)	12	20
Cal St. Fullerton (Big West)	11	19
Hawaii (Western Athletic)	11	19
San Jose St. (Western Athletic)	11	19
Rider (Metro Atlantic)	11	19
Illinois (Big Ten)	11	19
Jacksonville (Atlantic Sun)	11	20
Saint Louis (Atlantic 10)	11	20
North Dakota St. (North Dakota St.)	11	20
New Mexico (Mountain West)	11	20
Bethune-Cookman (Mid-Eastern)	10	19
Morehead St. (OVC)	10	19
Old Dominion (Colonial)	11	21
Savannah St. (Mid-Eastern)	10	20
Youngstown St. (Horizon)	10	20
William & Mary (Colonial)	10	20
Vermont (America East)	10	20
Valparaiso (Horizon)	10	21
Northern Ariz. (Big Sky)	9	20
A&M-Corpus Chris (Southland)	9	20
Wisconsin (Big Ten)	9	20
Tennessee St. (OVC)	9	20
Ball St. (Mid-American)	9	21
IPFW (Summit League)	9	21
USC Upstate (Atlantic Sun)	9	21
Western Ky. (Sun Belt)	9	21
Milwaukee (Horizon)	9	21
La.-Monroe (Sun Belt)	9	21
Buffalo (Mid-American)	9	22
Austin Peay (OVC)	9	22
Xavier (Atlantic 10)	8	20
UTSA (Southland)	8	21
Massachusetts (Atlantic 10)	8	21
Colgate (Patriot)	8	22
ETSU (Atlantic Sun)	8	22
Ga. Southern (Southern)	8	22
Georgia St. (Colonial)	8	22
Western Mich. (Mid-American)	8	22
Loyola Marymount (West Coast)	8	22
Northeastern (Colonial)	8	22
Pittsburgh (AAC)	8	22
Southern Ill. (Missouri Valley)	8	22
Lafayette (Patriot)	8	22
Seton Hall (AAC)	8	23
Maine (America East)	8	23
CSU Bakersfield (Independent)	7	22
Southeast Mo. St. (OVC)	7	22
Longwood (Independent)	7	22
Boston College (Atlantic Coast)	7	23
Delaware St. (Mid-Eastern)	7	23
UNC Asheville (Big South)	7	23
Col. of Charleston (Southern)	7	23
La.-Lafayette (Sun Belt)	7	23
Virginia Tech (Atlantic Coast)	7	23
Nevada (Western Athletic)	7	23
Kent St. (Mid-American)	6	21
Clemson (Atlantic Coast)	6	22
UT Arlington (Southland)	6	22
Dartmouth (Ivy League)	6	22
Mercer (Atlantic Sun)	6	23
Southern Utah (Summit League)	6	23
Northwestern St. (Southland)	6	23
Lipscomb (Atlantic Sun)	6	23
Air Force (Mountain West)	6	24
Morgan St. (Mid-Eastern)	6	24
Indiana (Big Ten)	6	24
Chicago St. (GWC)	6	24
New Mexico St. (Western Athletic)	6	24
UC Riverside (Big West)	5	24
San Francisco (West Coast)	5	25
Evansville (Missouri Valley)	5	25
Bucknell (Patriot)	5	25
Texas Southern (Southwestern)	5	26
Saint Peter's (Metro Atlantic)	5	26
Jacksonville St. (OVC)	4	25
UNCG (Southern)	4	25
Gardner-Webb (Big South)	4	25
St. Francis Brooklyn (Northeast)	4	25
Stony Brook (America East)	4	26
Columbia (Ivy League)	3	25
Houston (Conference USA)	3	26
N.C. Central (Mid-Eastern)	3	27
Troy (Sun Belt)	2	26
Weber St. (Big Sky)	2	27
Wagner (Northeast)	2	27
Houston Baptist (GWC)	1	27
Rhode Island (Atlantic 10)	1	28
Ark.-Pine Bluff (Southwestern)	1	29
